Participant ID,Date,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Comment,Experiment Number,Days prior to ZIKV infection,,,
r03138,2019-02-11,,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6393,-98,,,
r03138,2019-02-12,,DENV2,vRNA,1208000,[1204000 ; 1212000],,Plasma,,6393,-97,,,
r03138,2019-02-13,,DENV2,vRNA,2951000,[2951000 ; 2951000],,Plasma,,6393,-96,,,
r03138,2019-02-14,,DENV2,vRNA,1195833.335,[1212000 ; 1179666.67],,Plasma,,6393,-95,,,
r03138,2019-02-15,,DENV2,vRNA,82316.67,[81766.67 ; 82866.67],,Plasma,,6393,-94,,,
r03138,2019-02-16,,DENV2,vRNA,7475,[7173.33 ; 7776.67],,Plasma,,6393,-93,,,
r03138,2019-02-17,,DENV2,vRNA,5350,[5403.33 ; 5296.67],,Plasma,,6393,-92,,,
r03138,2019-02-18,,DENV2,vRNA,2803.665,[2681 ; 2926.33],,Plasma,,6393,-91,,,
r03138,2019-02-19,104176,DENV2,vRNA,2004.5000,[1998 ; 2011],,Plasma,,6425,-90,,,
r03138,2019-02-20,104177,DENV2,vRNA,652.5000,[599 ; 706],,Plasma,,6425,-89,,,
r03138,2019-02-21,104178,DENV2,vRNA,176.8333,[0 ; 354],Equoivical,Plasma,,6425,-88,,,
r03138,2019-02-25,104179,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6425,-84,,,
r03138,2019-03-04,106021,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-77,,,
r03138,2019-03-11,106025,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-70,,,
r04118,2018-04-16,84531,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5322,-105,,,
r04118,2018-04-17,84535,DENV2,vRNA,901833.3000,[869667 ; 934000],,Plasma,,5322,-104,,,
r04118,2018-04-18,84539,DENV2,vRNA,5023333.5000,[5006667 ; 5040000],,Plasma,,5322,-103,,,
r04118,2018-04-19,84554,DENV2,vRNA,3860000.0000,[3860000 ; 3860000],,Plasma,,5322,-102,,,
r04118,2018-04-20,84935,DENV2,vRNA,110416.6640,[108900 ; 111933],,Plasma,,5350,-101,,,
r04118,2018-04-21,84939,DENV2,vRNA,3972.3333,[3321 ; 4623],,Plasma,,5350,-100,,,
r04118,2018-04-23,84945,DENV2,vRNA,850.3333,[821 ; 880],,Plasma,,5350,-98,,,
r04118,2018-04-24,84962,DENV2,vRNA,699.3333,[555 ; 844],,Plasma,,5350,-97,,,
r04118,2018-04-25,84966,DENV2,vRNA,505.5000,[500 ; 511],,Plasma,,5350,-96,,,
r04118,2018-04-26,85862,DENV2,vRNA,278.7833,[235 ; 323],,Plasma,,5406,-95,,,
r04118,2018-04-27,85882,DENV2,vRNA,49.2500,[0 ; 99],Equoivical,Plasma,,5406,-94,,,
r04118,2018-04-30,85866,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-91,,,
r04118,2018-05-07,85870,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-84,,,
r04159,2019-02-11,103759,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6393,-106,,,
r04159,2019-02-12,103772,DENV2,vRNA,539833.3000,[529000 ; 550667],,Plasma,,6393,-105,,,
r04159,2019-02-13,103773,DENV2,vRNA,1897666.6000,[1878333 ; 1917000],,Plasma,,6393,-104,,,
r04159,2019-02-14,103774,DENV2,vRNA,1514166.6000,[1493667 ; 1534667],,Plasma,,6393,-103,,,
r04159,2019-02-15,103775,DENV2,vRNA,123483.3360,[117667 ; 129300],,Plasma,,6393,-102,,,
r04159,2019-02-16,103776,DENV2,vRNA,828.8333,[740 ; 918],,Plasma,,6393,-101,,,
r04159,2019-02-17,103777,DENV2,vRNA,1920.3334,[1901 ; 1940],,Plasma,,6393,-100,,,
r04159,2019-02-18,103778,DENV2,vRNA,2066.0000,[1741 ; 2391],,Plasma,,6393,-99,,,
r04159,2019-02-19,104180,DENV2,vRNA,1766.3334,[1754 ; 1778],,Plasma,,6425,-98,,,
r04159,2019-02-20,104181,DENV2,vRNA,320.0667,[298 ; 342],,Plasma,,6425,-97,,,
r04159,2019-02-21,104182,DENV2,vRNA,83.8333,[81 ; 87],,Plasma,,6425,-96,,,
r04159,2019-02-25,104183,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6425,-92,,,
r04159,2019-03-04,106022,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-85,,,
r04159,2019-03-11,106026,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-78,,,
r05055,2018-04-16,84532,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5322,-84,,,
r05055,2018-04-17,84536,DENV2,vRNA,422500.0000,[408667 ; 436333],,Plasma,,5322,-83,,,
r05055,2018-04-18,84540,DENV2,vRNA,1482666.6000,[1482667 ; 1482667],,Plasma,,5322,-82,,,
r05055,2018-04-19,84556,DENV2,vRNA,768666.7000,[748667 ; 788667],,Plasma,,5322,-81,,,
r05055,2018-04-20,84936,DENV2,vRNA,5670.0000,[5377 ; 5963],,Plasma,,5350,-80,,,
r05055,2018-04-21,84940,DENV2,vRNA,5176.6665,[4750 ; 5603],,Plasma,,5350,-79,,,
r05055,2018-04-22,84943,DENV2,vRNA,6843.3335,[6797 ; 6890],,Plasma,,5350,-78,,,
r05055,2018-04-23,84946,DENV2,vRNA,4900.0000,[4850 ; 4950],,Plasma,,5350,-77,,,
r05055,2018-04-24,84963,DENV2,vRNA,1722.0000,[1669 ; 1775],,Plasma,,5350,-76,,,
r05055,2018-04-25,84967,DENV2,vRNA,139.9667,[86 ; 193],,Plasma,,5350,-75,,,
r05055,2018-04-26,85863,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-74,,,
r05055,2018-04-27,85883,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-73,,,
r05055,2018-04-30,85867,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-70,,,
r05055,2018-05-07,85871,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-63,,,
r07035,2019-02-11,103779,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6393,-84,,,
r07035,2019-02-12,103780,DENV2,vRNA,64383.3320,[62867 ; 65900],,Plasma,,6393,-83,,,
r07035,2019-02-13,103781,DENV2,vRNA,313733.3400,[312667 ; 314800],,Plasma,,6393,-82,,,
r07035,2019-02-14,103782,DENV2,vRNA,115100.0000,[108500 ; 121700],,Plasma,,6393,-81,,,
r07035,2019-02-15,103783,DENV2,vRNA,7351.6665,[6660 ; 8043],,Plasma,,6393,-80,,,
r07035,2019-02-16,103788,DENV2,vRNA,1741.8334,[1595 ; 1888],,Plasma,,6393,-79,,,
r07035,2019-02-17,103789,DENV2,vRNA,9598.3330,[8663 ; 10533],,Plasma,,6393,-78,,,
r07035,2019-02-18,103790,DENV2,vRNA,27340.0000,[27247 ; 27433],,Plasma,,6393,-77,,,
r07035,2019-02-19,104184,DENV2,vRNA,6678.3335,[5613 ; 7743],,Plasma,,6425,-76,,,
r07035,2019-02-20,104185,DENV2,vRNA,147.5167,[88 ; 207],,Plasma,,6425,-75,,,
r07035,2019-02-21,104189,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6425,-74,,,
r07035,2019-02-25,104190,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6425,-70,,,
r07035,2019-03-04,106023,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-63,,,
r07035,2019-03-11,106027,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-56,,,
r10081,2019-02-11,103748,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6393,-98,,,
r10081,2019-02-12,104150,DENV2,vRNA,1254500.0000,[1241667 ; 1267333],,Plasma,,6425,-97,,,
r10081,2019-02-13,104159,DENV2,vRNA,3022666.6650,[2981333 ; 3064000],,Plasma,,6425,-96,,,
r10081,2019-02-14,104160,DENV2,vRNA,1268000.0000,[1233333 ; 1302667],,Plasma,,6425,-95,,,
r10081,2019-02-15,104161,DENV2,vRNA,733833.3350,[703667 ; 764000],,Plasma,,6425,-94,,,
r10081,2019-02-16,104174,DENV2,vRNA,21473.3350,[20887 ; 22060],,Plasma,,6425,-93,,,
r10081,2019-02-17,103749,DENV2,vRNA,3342.5000,[3152 ; 3533],,Plasma,,6393,-92,,,
r10081,2019-02-18,103750,DENV2,vRNA,4245.5000,[3194 ; 5297],,Plasma,,6393,-91,,,3472.0562
r10081,2019-02-18,104175,DENV2,vRNA,1407.3350,[1316 ; 1499],,Plasma,,6425,-91,,,
r10081,2019-02-18,106162,DENV2,vRNA,4763.3335,[3853 ; 5673],,Plasma,,6497,-91,,,
r10081,2019-02-19,106163,DENV2,vRNA,2131.3333,[1731 ; 2531],,Plasma,,6497,-90,,,
r10081,2019-02-20,104156,DENV2,vRNA,434.5000,[397 ; 472],,Plasma,,6425,-89,,,
r10081,2019-02-21,104157,DENV2,vRNA,168.9333,[95 ; 243],,Plasma,,6425,-88,,,
r10081,2019-02-25,104158,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6425,-84,,,
r10081,2019-03-04,106024,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-77,,,
r10081,2019-03-11,106028,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,6480,-70,,,
r11026,2018-04-16,84529,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5322,-84,,,
r11026,2018-04-17,84533,DENV2,vRNA,335250.0000,[325500 ; 345000],,Plasma,,5322,-83,,,
r11026,2018-04-18,84537,DENV2,vRNA,684833.3000,[640333 ; 729333],,Plasma,,5322,-82,,,
r11026,2018-04-19,84558,DENV2,vRNA,423666.6600,[422333 ; 425000],,Plasma,,5322,-81,,,
r11026,2018-04-20,84937,DENV2,vRNA,5820.0000,[5800 ; 5840],,Plasma,,5350,-80,,,
r11026,2018-04-21,84941,DENV2,vRNA,894.3333,[751 ; 1038],,Plasma,,5350,-79,,,
r11026,2018-04-23,84959,DENV2,vRNA,1098.6666,[682 ; 1515],,Plasma,,5350,-77,,,
r11026,2018-04-24,84964,DENV2,vRNA,699.1667,[668 ; 730],,Plasma,,5350,-76,,,
r11026,2018-04-25,84968,DENV2,vRNA,273.4333,[114 ; 433],,Plasma,,5350,-75,,,
r11026,2018-04-26,85864,DENV2,vRNA,101.6167,[97 ; 106],,Plasma,,5406,-74,,,
r11026,2018-04-27,85884,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-73,,,
r11026,2018-04-30,85868,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-70,,,
r11026,2018-05-07,85872,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5406,-63,,,
r11091,2018-04-16,84530,DENV2,vRNA,0.0000,[0 ; 0],,Plasma,,5322,-119,,,
r11091,2018-04-17,84534,DENV2,vRNA,249416.6700,[241300 ; 257533],,Plasma,,5322,-118,,,
r11091,2018-04-18,84538,DENV2,vRNA,1120833.4000,[1113667 ; 1128000],,Plasma,,5322,-117,,,
r11091,2018-04-19,84559,DENV2,vRNA,1492333.4000,[1492333 ; 1492333],,Plasma,,5322,-116,,,
r11091,2018-04-20,84938,DENV2,vRNA,29658.3340,[28843 ; 30473],,Plasma,,5350,-115,,,
r11091,2018-04-21,84942,DENV2,vRNA,5760.0000,[5720 ; 5800],,Plasma,,5350,-114,,,
