,28 days post-DENV challenge,28 days post-DENV challenge,0 days post-ZIKV challenge,0 days post-ZIKV challenge,28-35 days post-ZIKV challenge,28-35 days post-ZIKV challenge
,PRNT50,PRNT90,PRNT50,PRNT90,PRNT50,PRNT90
042-101,0.9513,0.08681,0,0,1740,255.9
042-102,7.66,0.7786,0,0,915.5,156.4
042-103,0,0,0,0,2284,926.1
042-104,2.37,0.6834,0,0,2788,753.8
042-105,25.96,4.22,1.839,0.191,1097,73.88
042-106,0.404,0.02964,0.6065,0.0846,656.3,733.4
042-107,6.094,0.7298,1.08,0.07952,2750,251.7
042-108,3.324,0.4086,2.351,0.6315,499.1,302.3
044-101,not tested,not tested,0,0,68.84,568.8
044-102,not tested,not tested,0,0,104.7,621.6
044-103,not tested,not tested,0,0,60.6,143.7
044-104,not tested,not tested,0,0,34.44,149.1
