Gestational age,-3SD,-2SD,-1SD,Average,1SD,2SD,3SD
50,,,,,,,
51,30.3,33.4,36.5,39.6,42.7,45.8,48.9
52,,,,,,,
53,,,,,,,
54,33,36.8,40.6,44.4,48.2,52,55.8
55,,,,,,,
56,,,,,,,
57,34.5,39.8,45.1,50.4,55.7,61,66.3
58,,,,,,,
59,,,,,,,
60,30.9,39.3,47.7,56.1,64.5,72.9,81.3
61,,,,,,,
62,,,,,,,
63,44.7,49.6,54.5,59.4,64.3,69.2,74.1
64,,,,,,,
65,,,,,,,
66,45.3,51.6,57.9,64.2,70.5,76.8,83.1
67,,,,,,,
68,,,,,,,
69,51,57.5,64,70.5,77,83.5,90
70,,,,,,,
71,,,,,,,
72,58.2,64,69.8,75.6,81.4,87.2,93
73,,,,,,,
74,,,,,,,
75,61.3,68.6,75.9,83.2,90.5,97.8,105.1
76,,,,,,,
77,,,,,,,
78,67.9,73.5,79.1,84.7,90.3,95.9,101.5
79,,,,,,,
80,,,,,,,
81,65.7,74.6,83.5,92.4,101.3,110.2,119.1
82,,,,,,,
83,,,,,,,
84,76.9,83.1,89.3,95.5,101.7,107.9,114.1
85,,,,,,,
86,,,,,,,
87,71.4,81.7,92,102.3,112.6,122.9,133.2
88,,,,,,,
89,,,,,,,
90,86.1,92.8,99.5,106.2,112.9,119.6,126.3
91,,,,,,,
92,,,,,,,
93,83.3,91,98.7,106.4,114.1,121.8,129.5
94,,,,,,,
95,,,,,,,
96,89.7,96.6,103.5,110.4,117.3,124.2,131.1
97,,,,,,,
98,,,,,,,
99,91.4,99.6,107.8,116,124.2,132.4,140.6
100,,,,,,,
101,,,,,,,
102,94.5,102.6,110.7,118.8,126.9,135,143.1
103,,,,,,,
104,,,,,,,
105,101,108.4,115.8,123.2,130.6,138,145.4
106,,,,,,,
107,,,,,,,
108,98.8,105.5,112.2,118.9,125.6,132.3,139
109,,,,,,,
110,,,,,,,
111,107.7,114.2,120.7,127.2,133.7,140.2,146.7
112,,,,,,,
113,,,,,,,
114,104.7,112.6,120.5,128.4,136.3,144.2,152.1
115,,,,,,,
116,,,,,,,
117,96.1,107.9,119.7,131.5,143.3,155.1,166.9
118,,,,,,,
119,,,,,,,
120,112.3,121,129.7,138.4,147.1,155.8,164.5
121,,,,,,,
122,,,,,,,
123,112.9,121.9,130.9,139.9,148.9,157.9,166.9
124,,,,,,,
125,,,,,,,
126,115.9,123.9,131.9,139.9,147.9,155.9,163.9
127,,,,,,,
128,,,,,,,
129,122.7,130.3,137.9,145.5,153.1,160.7,168.3
130,,,,,,,
131,,,,,,,
132,115.2,127.9,140.6,153.3,166,178.7,191.4
133,,,,,,,
134,,,,,,,
135,106.4,119,131.6,144.2,156.8,169.4,182
136,,,,,,,
137,,,,,,,
138,121.6,130.4,139.2,148,156.8,165.6,174.4
139,,,,,,,
140,,,,,,,
141,117.8,128.5,139.2,149.9,160.6,171.3,182
142,,,,,,,
143,,,,,,,
144,114.6,129.7,144.8,159.9,175,190.1,205.2
145,,,,,,,
146,,,,,,,
147,129.1,139.4,149.7,160,170.3,180.6,190.9
148,,,,,,,
149,,,,,,,
150,134.1,140.4,146.7,153,159.3,165.6,171.9
151,,,,,,,
152,,,,,,,
153,125.7,136.8,147.9,159,170.1,181.2,192.3
