Gestational age,-3SD,-2SD,-1SD,Average,1SD,2SD,3SD
50,,,,,,,
51,41.1,44.3,47.5,50.7,53.9,57.1,60.3
52,,,,,,,
53,,,,,,,
54,38.9,44.3,49.7,55.1,60.5,65.9,71.3
55,,,,,,,
56,,,,,,,
57,45.4,51.7,58,64.3,70.6,76.9,83.2
58,,,,,,,
59,,,,,,,
60,49.3,55.1,60.9,66.7,72.5,78.3,84.1
61,,,,,,,
62,,,,,,,
63,58,63.3,68.6,73.9,79.2,84.5,89.8
64,,,,,,,
65,,,,,,,
66,50.6,59.5,68.4,77.3,86.2,95.1,104
67,,,,,,,
68,,,,,,,
69,61.6,68.9,76.2,83.5,90.8,98.1,105.4
70,,,,,,,
71,,,,,,,
72,72.7,78.4,84.1,89.8,95.5,101.2,106.9
73,,,,,,,
74,,,,,,,
75,75.8,83.1,90.4,97.7,105,112.3,119.6
76,,,,,,,
77,,,,,,,
78,85,90.1,95.2,100.3,105.4,110.5,115.6
79,,,,,,,
80,,,,,,,
81,86.1,92.9,99.7,106.5,113.3,120.1,126.9
82,,,,,,,
83,,,,,,,
84,95.4,100.8,106.2,111.6,117,122.4,127.8
85,,,,,,,
86,,,,,,,
87,101.8,107,112.2,117.4,122.6,127.8,133
88,,,,,,,
89,,,,,,,
90,108.1,113.2,118.3,123.4,128.5,133.6,138.7
91,,,,,,,
92,,,,,,,
93,120.8,125.7,130.6,135.5,140.4,145.3,150.2
94,,,,,,,
95,,,,,,,
96,115.1,121,126.9,132.8,138.7,144.6,150.5
97,,,,,,,
98,,,,,,,
99,112.1,120.5,128.9,137.3,145.7,154.1,162.5
100,,,,,,,
101,,,,,,,
102,125.1,131.1,137.1,143.1,149.1,155.1,161.1
103,,,,,,,
104,,,,,,,
105,131.2,136.1,141,145.9,150.8,155.7,160.6
106,,,,,,,
107,,,,,,,
108,126.9,133.9,140.9,147.9,154.9,161.9,168.9
109,,,,,,,
110,,,,,,,
111,131.9,140.4,148.9,157.4,165.9,174.4,182.9
112,,,,,,,
113,,,,,,,
114,139.7,146.1,152.5,158.9,165.3,171.7,178.1
115,,,,,,,
116,,,,,,,
117,142.6,149.3,156,162.7,169.4,176.1,182.8
118,,,,,,,
119,,,,,,,
120,147.6,153.9,160.2,166.5,172.8,179.1,185.4
121,,,,,,,
122,,,,,,,
123,147,154.1,161.2,168.3,175.4,182.5,189.6
124,,,,,,,
125,,,,,,,
126,159.9,164.3,168.7,173.1,177.5,181.9,186.3
127,,,,,,,
128,,,,,,,
129,160.5,166.1,171.7,177.3,182.9,188.5,194.1
130,,,,,,,
131,,,,,,,
132,162.5,167.6,172.7,177.8,182.9,188,193.1
133,,,,,,,
134,,,,,,,
135,166.4,170.6,174.8,179,183.2,187.4,191.6
136,,,,,,,
137,,,,,,,
138,167,172.6,178.2,183.8,189.4,195,200.6
139,,,,,,,
140,,,,,,,
141,167.1,172.5,177.9,183.3,188.7,194.1,199.5
142,,,,,,,
143,,,,,,,
144,164.1,172.1,180.1,188.1,196.1,204.1,212.1
145,,,,,,,
146,,,,,,,
147,166.2,172.6,179,185.4,191.8,198.2,204.6
148,,,,,,,
149,,,,,,,
150,174.8,179.2,183.6,188,192.4,196.8,201.2
151,,,,,,,
152,,,,,,,
154,,,,,,,
153,166.3,174,181.7,189.4,197.1,204.8,212.5
154,,,,,,,
155,,,,,,,
156,172.9,176.2,179.5,182.8,186.1,189.4,192.7
