Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm),Umbilical artery systolic/diastolic ratio,Medial cerebral artery peak systolic pressure,Medial systolic artery systolic/diastolic ratio
0,r10036,44,-4,198,,,,,,,,,,,,,,,,,,,
0,r10036,51,3,198,,,,,,,,,,,,,,,,,,,
0,r10036,58,10,193,6.16,6.43,,6.295,17.98,18.08,,18.03,66.42,64.64,,65.53,50.55,50.76,,50.655,,,
0,r10036,65,17,189,11.25,11.03,,11.14,21.83,21.79,,21.81,76.01,76.46,,76.24,61.76,60.33,,61.045,,8.32,3.586207
0,r10036,72,24,178,13.3,13.03,,13.165,25.39,25.3,,25.35,92.90,91.26,,92.08,76.27,76.18,,76.225,7.035714,33.28,6.185874
0,r10036,79,31,181,16.41,16.39,,16.4,27.53,27.85,,27.69,100.54,100.16,,100.35,89.75,88.38,,89.065,,28.67,3.807437
0,r10036,86,38,186,19.44,19.85,,19.645,30.17,30.33,,30.25,113.59,113.43,,113.51,93.53,91.98,,92.755,9.001976,29.39,4.399701
0,r10036,93,45,170,22.51,22.21,,22.36,32.27,33.03,,32.65,125.62,126.59,,126.11,100.18,99.07,,99.625,6.74359,31.98,4.787425
0,r10036,101,53,178,,,,,,,,,,,,,,,,,,,
0,r10036,107,59,184,30.15,30.28,,30.215,38.25,36.78,,37.52,146.90,143.39,,145.15,109.14,117.93,,113.535,6.215686,28.09,
0,r10036,114,66,182,31.55,31.01,,31.28,39.22,39.22,,39.22,157.60,154.11,,155.86,120.09,119.64,,119.865,4.219512,27.28,3.752407
0,r10036,121,73,157,35.89,33.66,,34.775,40.93,41.09,,41.01,160.15,162.39,,161.27,113.33,116.63,,114.98,4.344086,46.25,3.511769
0,r10036,128,80,176,36.93,36.91,,36.92,41.59,42.66,,42.13,166.01,166.57,,166.29,149.48,152.32,,150.9,3.358696,38.6,3.641509
0,r10036,135,87,175,39.72,37.89,,38.805,43.48,43.22,,43.35,172.17,170.35,,171.26,146.68,142.57,,144.625,,,
0,r10036,142,94,175,,,,41.55,,,,44.65,,,,176.07,,,,141.13,,,
0,r10036,149,101,186,42.57,,,42.57,45.72,45.87,,45.80,173.69,172.26,,172.98,120.88,130.5,,125.69,,,
0,r07031,38,-4,182,,,,,,,,,,,,,,,,,,,
0,r07031,45,3,194,,,,,,,,,,,,,,,,,,,
0,r07031,52,10,205,2.57,,,2.57,12.71,,,12.71,47.19,,,47.19,39.3,,,39.3,,,
0,r07031,59,17,194,5.11,5.18,,5.145,16.48,17.23,,16.86,57.80,58.86,,58.33,47.26,47.1,,47.18,,,
0,r07031,66,24,194,8.24,8.07,,8.155,21.21,21.19,,21.20,72.67,71.64,,72.16,57.88,58.66,,58.27,,,
0,r07031,73,31,198,11.56,11.71,,11.635,24.49,24.56,,24.53,85.53,84.22,,84.88,70.08,72.21,,71.145,,,
0,r07031,80,38,191,14.4,14.69,,14.545,27.53,27.01,,27.27,96.89,96.18,,96.54,81.15,80.71,,80.93,33,30.68,5.702602
0,r07031,87,45,198,18.1,18,,18.05,31.22,,,31.22,114.80,114.60,,114.70,92.68,96.93,,94.805,11.83333,25.53,4.625
0,r07031,94,52,173,,,,21.3,,,,34.15,,,,123.77,,,,106.03,8.092593,27.4,5.829787
0,r07031,101,59,198,24.8,25.2,,25,35.3,35.8,,35.55,133.22,131.31,,132.27,113.23,104.76,,108.995,9.098039,,
0,r07031,108,66,207,27.2,27.4,,27.3,36.9,36.7,,36.80,147.65,145.96,,146.81,108.51,107.56,,108.035,8.390244,27.97,5.560636
0,r07031,115,73,202,30.5,30.2,,30.35,41.1,40.8,,40.95,151.05,150.21,,150.63,121.41,117.05,,119.23,5.978723,34.6,5.164179
0,r07031,122,80,184,33.9,32.6,32.7,33.06666667,41.1,41,,41.05,155.66,152.31,,153.99,125.52,129.59,129.87,128.3266667,7.776119,34.6,4.739726
0,r07031,129,87,214,36.4,35.6,,36,43.6,43.3,,43.45,263.03,162.33,,212.68,126.48,124.31,,125.395,4.289855,38.47,4.457706
