Gestational age,-3SD,-2SD,-1SD,Average,1SD,2SD,3SD
50,,,,,,,
51,10.1,11,11.9,12.8,13.7,14.6,15.5
52,,,,,,,
53,,,,,,,
54,9.7,11.1,12.5,13.9,15.3,16.7,18.1
55,,,,,,,
56,,,,,,,
57,11.7,13.2,14.7,16.2,17.7,19.2,20.7
58,,,,,,,
59,,,,,,,
60,12.7,14.4,16.1,17.8,19.5,21.2,22.9
61,,,,,,,
62,,,,,,,
63,14.4,16,17.6,19.2,20.8,22.4,24
64,,,,,,,
65,,,,,,,
66,16.9,18.1,19.3,20.5,21.7,22.9,24.1
67,,,,,,,
68,,,,,,,
69,16.7,18.3,19.9,21.5,23.1,24.7,26.3
70,,,,,,,
71,,,,,,,
72,20.3,21.4,22.5,23.6,24.7,25.8,26.9
73,,,,,,,
74,,,,,,,
75,20.7,22.3,23.9,25.5,27.1,28.7,30.3
76,,,,,,,
77,,,,,,,
78,22.8,23.9,25,26.1,27.2,28.3,29.4
79,,,,,,,
80,,,,,,,
81,22.1,23.9,25.7,27.5,29.3,31.1,32.9
82,,,,,,,
83,,,,,,,
84,24.5,26,27.5,29,30.5,32,33.5
85,,,,,,,
86,,,,,,,
87,26.5,27.8,29.1,30.4,31.7,33,34.3
88,,,,,,,
89,,,,,,,
90,27.4,28.8,30.2,31.6,33,34.4,35.8
91,,,,,,,
92,,,,,,,
93,28.1,29.4,30.7,32,33.3,34.6,35.9
94,,,,,,,
95,,,,,,,
96,28.6,30.3,32,33.7,35.4,37.1,38.8
97,,,,,,,
98,,,,,,,
99,29.5,31.3,33.1,34.9,36.7,38.5,40.3
100,,,,,,,
101,,,,,,,
102,31.1,32.8,34.5,36.2,37.9,39.6,41.3
103,,,,,,,
104,,,,,,,
105,32.5,34,35.5,37,38.5,40,41.5
106,,,,,,,
107,,,,,,,
108,33,34.6,36.2,37.8,39.4,41,42.6
109,,,,,,,
110,,,,,,,
111,34.2,36,37.8,39.6,41.4,43.2,45
112,,,,,,,
113,,,,,,,
114,35.7,37.2,38.7,40.2,41.7,43.2,44.7
115,,,,,,,
116,,,,,,,
117,37.6,38.9,40.2,41.5,42.8,44.1,45.4
118,,,,,,,
119,,,,,,,
120,37,38.7,40.4,42.1,43.8,45.5,47.2
121,,,,,,,
122,,,,,,,
123,37.4,39.2,41,42.8,44.6,46.4,48.2
124,,,,,,,
125,,,,,,,
126,39.7,41.1,42.5,43.9,45.3,46.7,48.1
127,,,,,,,
128,,,,,,,
129,39.5,41.2,42.9,44.6,46.3,48,49.7
130,,,,,,,
131,,,,,,,
132,41.4,42.7,44,45.3,46.6,47.9,49.2
133,,,,,,,
134,,,,,,,
135,42.3,43.3,44.3,45.3,46.3,47.3,48.3
136,,,,,,,
137,,,,,,,
138,42.1,43.4,44.7,46,47.3,48.6,49.9
139,,,,,,,
140,,,,,,,
141,41.7,43.2,44.7,46.2,47.7,49.2,50.7
142,,,,,,,
143,,,,,,,
144,42,43.7,45.4,47.1,48.8,50.5,52.2
145,,,,,,,
146,,,,,,,
147,42.3,43.9,45.5,47.1,48.7,50.3,51.9
148,,,,,,,
149,,,,,,,
150,44.3,45.4,46.5,47.6,48.7,49.8,50.9
151,,,,,,,
152,,,,,,,
153,42,43.8,45.6,47.4,49.2,51,52.8
154,,,,,,,
155,,,,,,,
156,44.4,45.4,46.4,47.4,48.4,49.4,50.4
157,,,,,,,
158,,,,,,,
159,43.8,45.3,46.8,48.3,49.8,51.3,52.8
160,,,,,,,
161,,,,,,,
162,45.4,46.2,47,47.8,48.6,49.4,50.2
163,,,,,,,
164,,,,,,,
165,45.3,46.3,47.3,48.3,49.3,50.3,51.3
