,28 days post-DENV challenge,28 days post-DENV challenge,28-35 days post-ZIKV challenge,28-35 days post-ZIKV challenge
,PRNT50,PRNT90,PRNT50,PRNT90
042-101,58.9,23.15,475.1,188.5
042-102,61.09,13.61,186.5,130
042-103,46.67,12.35,267.7,96.72
042-104,53.66,11.34,527.9,119.1
042-105,89.24,13.79,365.9,140.7
042-106,146.4,22.47,355,63.67
042-107,84.98,11.01,325.5,110.3
042-108,201.2,57.94,1175,234.2
044-101,not tested,not tested,not tested,not tested
044-102,not tested,not tested,not tested,not tested
044-103,not tested,not tested,not tested,not tested
044-104,not tested,not tested,not tested,not tested
